IP,Port,Latency(ms),Speed(Mbps)
104.20.7.109,443,201,0.00
104.19.220.70,443,202,0.00
172.64.152.100,443,202,0.00
104.24.2.172,443,202,0.00
198.41.202.90,443,202,0.00
198.41.211.193,443,203,0.00
104.24.9.155,443,203,0.00
103.21.244.111,443,203,0.00
198.41.223.246,443,204,0.00
104.27.36.128,443,204,0.00
190.93.244.122,443,206,0.00
103.31.4.81,443,206,0.00
104.17.186.211,443,206,0.00
104.19.205.43,443,206,0.00
172.65.201.237,443,207,0.00
104.19.125.58,443,207,0.00
104.25.74.193,443,207,0.00
104.25.144.135,443,207,0.00
172.65.112.73,443,208,0.00
104.25.189.199,443,208,0.00
188.114.99.155,443,209,0.00
104.21.89.100,443,210,0.00
198.41.198.133,443,210,0.00
108.162.193.253,443,211,0.00
103.31.4.162,443,211,0.00
104.24.11.193,443,211,0.00
104.25.135.208,443,211,0.00
173.245.59.30,443,212,0.00
190.93.244.130,443,215,0.00
190.93.247.140,443,215,0.00
103.31.4.52,443,216,0.00
198.41.201.194,443,216,0.00
103.31.4.86,443,217,0.00
104.16.170.231,443,217,0.00
103.31.4.168,443,217,0.00
198.41.215.188,443,218,0.00
141.101.114.212,443,218,0.00
173.245.58.177,443,218,0.00
173.245.49.102,443,218,0.00
172.66.133.158,443,218,0.00
190.93.245.91,443,218,0.00
188.114.96.92,443,218,0.00
172.65.0.12,443,218,0.00
190.93.244.28,443,219,0.00
188.114.97.132,443,219,0.00
104.27.30.183,443,219,0.00
103.31.4.81,443,219,0.00
188.114.97.15,443,219,0.00
141.101.113.183,443,220,0.00
104.24.58.145,443,220,0.00
104.27.20.202,443,220,0.00
104.18.33.0,443,220,0.00
104.25.2.239,443,220,0.00
172.65.186.136,443,220,0.00
141.101.114.46,443,220,0.00
104.18.163.28,443,221,0.00
162.159.239.23,443,221,0.00
172.65.184.240,443,222,0.00
173.245.58.220,443,222,0.00
188.114.97.157,443,222,0.00
188.114.99.9,443,222,0.00
104.25.201.112,443,223,0.00
104.27.20.97,443,223,0.00
104.19.253.168,443,223,0.00
104.25.213.19,443,223,0.00
162.159.8.18,443,224,0.00
103.31.4.96,443,224,0.00
198.41.206.187,443,224,0.00
103.31.4.182,443,224,0.00
104.16.255.35,443,225,0.00
103.31.4.39,443,226,0.00
108.162.195.153,443,227,0.00
103.31.4.38,443,227,0.00
198.41.201.213,443,227,0.00
172.67.180.3,443,227,0.00
103.31.4.208,443,228,0.00
103.31.4.44,443,228,0.00
104.21.215.155,443,229,0.00
198.41.217.13,443,229,0.00
103.21.244.162,443,229,0.00
108.162.192.132,443,229,0.00
104.21.23.214,443,229,0.00
162.159.39.245,443,229,0.00
104.24.141.114,443,230,0.00
103.31.4.214,443,231,0.00
198.41.201.191,443,232,0.00
162.159.38.215,443,232,0.00
172.67.140.121,443,232,0.00
104.19.109.59,443,233,0.00
103.31.4.6,443,233,0.00
198.41.219.205,443,234,0.00
103.31.4.66,443,234,0.00
104.21.111.10,443,234,0.00
104.19.122.247,443,235,0.00
103.31.4.235,443,235,0.00
103.31.4.93,443,235,0.00
141.101.113.33,443,235,0.00
104.17.238.135,443,236,0.00
103.31.4.173,443,236,0.00
103.31.4.46,443,237,0.00
190.93.245.234,443,237,0.00
103.31.4.185,443,237,0.00
104.19.120.181,443,238,0.00
104.25.26.65,443,238,0.00
104.17.243.189,443,238,0.00
198.41.201.130,443,239,0.00
103.31.4.116,443,240,0.00
103.31.4.95,443,240,0.00
104.25.30.242,443,240,0.00
190.93.245.175,443,240,0.00
104.24.220.134,443,241,0.00
198.41.193.176,443,241,0.00
104.17.207.143,443,242,0.00
104.16.161.10,443,242,0.00
104.18.233.207,443,243,0.00
103.31.4.33,443,244,0.00
104.16.206.146,443,244,0.00
141.101.113.19,443,246,0.00
103.31.4.30,443,246,0.00
198.41.218.93,443,247,0.00
104.27.192.166,443,248,0.00
104.16.228.52,443,249,0.00
104.24.27.52,443,249,0.00
104.17.222.35,443,249,0.00
162.159.95.51,443,249,0.00
104.25.221.27,443,249,0.00
172.66.44.250,443,249,0.00
188.114.99.61,443,249,0.00
188.114.99.206,443,249,0.00
104.27.3.224,443,249,0.00
104.21.215.190,443,250,0.00
